Tool ID	Tool ID	Tool ID	Tool ID	Tool ID		Software	Software	Software	Software	Software	Software	Software	Data support	Data support	Data support	Diversity features	Diversity features	Annotation	Annotation	Annotation	Annotation	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	User Experience	UD/PARSEME specifics	UD/PARSEME specifics	UD/PARSEME specifics	UD/PARSEME specifics	UD/PARSEME specifics	Tool ID	Tool ID
Tool name	Logo	Short description	Website	Other useful links	Have you been directly involved in the development of the tool (e.g. as a developer or consultant)?	License	Code repository (for open license)	Active maintenance	Software type	Operating system (for desktop based applications)	Software availability (for web-based applications)	Offline usage (for web-based applications)	Input format	Integration of other resources	Data export	Diversity features	Language of the interface	Segmentation	Annotation types	Annotation scope	Tagset customization	Annotation mode	Keyboard annotation and shortcuts	Annotation display	Automatic pre-annotation	Automatic recommendation	Collaborative annotation	Project management	User roles	Comparison of annotations	Agreement calculation	Querying	Mass editing	UD-specific annotations	UD validation	Other annotation layers	PARSEME-specific annotations	Consistency check	Example projects	Additional features
ArboratorGrew	https://arborator.grew.fr/svg/arborator.grew.svg	Your web-based collaborative tool for treebank annotation and curation	https://arborator.grew.fr/	https://arborator.github.io/arborator-documentation/#/	Yes	AGPL-3.0	https://github.com/Arborator	Yes	Web-based application	Windows, Mac OS, Linux	The software is freely available online (with sign up option and/or social logins)	No	Raw text, CONLL-U		The data can be exported., The data can be stored with a third party storage platform (e.g. Git repository)	Language-independence,Writing script support,LTR, RTL,unicode support	English, French	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies)	Annotation inside sentences	Yes	Mouse (e.g. drag & drop)	No	Image (e.g. a graph or coloured text), Table, Raw format (e.g. CONLL-U)	Yes	Yes	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	Yes	Yes	Yes	Yes	Yes	Yes	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Metadata	Yes			No	https://arboratorgrew.elizia.net/#/projects/Masakhane-Igbo	ArboratorGrew can be used also to teach syntax. It has a mode when users can create exercises with different levels of complexity and export students results by the end  Users can also generate lexicons from your annotated data  And to ensure effective collaboration, ArboratorGrew provides a tag system
BoAT (Boğaziçi University Annotation Tool)		BoAT is a collaborative grammatical annotation tool.	https://github.com/furkanakkurt1335/boat	https://youtu.be/BtRVqgtxK8c?si=eXcfjmy-t2D431u5&t=509	Yes	MIT	https://github.com/furkanakkurt1335/boat	Yes	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	No	Raw text, CONLL-U		The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Relations (e.g. dependencies), Chains (e.g. coreferences)	Annotation inside sentences	Yes	Keyboard	Yes	Image (e.g. a graph or coloured text), Table	tokenization	No	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	partial	No	Yes	partial	Yes	No	Lemmas,UPOS,FEATS,XPOS,,Basic dependencies,Enhanced dependencies,Empty nodes,Metadata	Yes			No	https://github.com/UniversalDependencies/UD_Turkish-BOUN	
brat	https://encrypted-tbn2.gstatic.com/favicon-tbn?q=tbn%3AANd9GcS8n34Ju-qkADxKmzkjBAMr5h2R1CXIw1dHidOlnuf7xM1bg0reAFr5_RjKcej-dP6M7OXxREru4Io37gRKfGLuX0wn_MG1maiw	brat rapid annotation tool: online environment for collaborative text annotation	http://brat.nlplab.org/		No	MIT	https://github.com/nlplab/brat	No	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	No	Raw text, .txt+.ann	External databases (e.g. dictionaries)	The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English		Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies), Chains (e.g. coreferences)	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop)	No	Image (e.g. a graph or coloured text)	Yes	No	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	No	No	Yes	No	Yes	No	Lemmas,UPOS,FEATS,XPOS,Basic dependencies,Empty nodes	No	events, relations, chains, attributes, normalization	Discontinuous expressions,Nested expressions,Overlapping expressions	No	https://brat.nlplab.org/examples.html	Export of visualisations (images)
CoNLLU-Editor	https://avatars.githubusercontent.com/u/1506386?s=48&v=4	A graphical tool to annotate sentences in dependency syntax	https://github.com/Orange-Opensource/conllueditor		Yes	BSD 3-Clause	https://github.com/Orange-Opensource/conllueditor	Yes	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	No	CONLL-U, CoNLL-U plus		The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies)	Annotation inside sentences	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Image (e.g. a graph or coloured text), Table, Raw format (e.g. CONLL-U), SD, LateX (tikz) 	No	No	partial	No	No	Yes	No	Yes	Yes	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Enhanced dependencies,Empty nodes,Metadata	Yes	BIO-like annotations		No	UD_Welsh	git-support (automatic gid add/git commit; automatic generation of transliteration of non-Latin scripts into Latin-script (Translit= fields in MISC and trainsliteration of the entire sentence; statistics (number/percentage of UPOSes, deprels, etc). The tool can be used as a frontend to an parser which returns the result in CoNLL-U format
DgAnnotator	https://encrypted-tbn1.gstatic.com/favicon-tbn?q=tbn%3AANd9GcRnnTZWOgkNyroJuQNd4DhyH71CBc2Ghn0Zg1Ysx2lpV_GhSp143U5OFckDLcFNHxAdEs_6WRmFP2SoOkbHUvPThYGDtD5KfVmHt-jx7Qs	 DgAnnotator is a utility for annotating and visualizing Dependency Graphs for natural language sentences. 	http://medialab.di.unipi.it/Project/QA/Parser/DgAnnotator/		No	not specified	https://github.com/attardi/DgAnnotator	No	Desktop-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	Yes	XML, CONLL-X		The data can be exported.	Language-independence,Writing script support,LTR,unicode support	English		Tokens (e.g. part-of-speech tag, morphological features), Relations (e.g. dependencies)	Annotation inside sentences	Yes	Mouse (e.g. drag & drop)	No	Image (e.g. a graph or coloured text)	No	No	No, the tool does not support multiple annotators working on the same data.	No	No	No	No	No	No	Lemmas,UPOS,Basic dependencies	No			No		
ELAN	https://archive.mpi.nl/tla/system/files/TLA-logo-with-text.png	ELAN is a professional tool for the creation, annotation, and analysis of complex multimedia data, enabling time-aligned transcription and linguistic analysis.	https://archive.mpi.nl/tla/elan	[Forum] https://archive.mpi.nl/forums/	No	GPL-3.0	https://archive.mpi.nl/tla/elan/download	Yes	Desktop-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	Yes	Raw text, XML, .mp4, .avi, .mov, .mkv, .wav, .mp3, .flac, .aac, .eaf , TextGrid files, CHAT, Shoebox/Toolbox, .trs, CSV	Audio, Video, Image	The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies)	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop), Touchscreen	Yes	Image (e.g. a graph or coloured text), Table, CSV	Yes	No	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	No	No	No	No	Yes	Yes	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies,Metadata	No	Time-aligned annotations, multimodal annotations	Discontinuous expressions,Nested expressions,Overlapping expressions	No	https://archive.mpi.nl/tla/islandora/object/lat%3A1839_00_0000_0000_0000_0000_4	Multimedia synchronization; customizable annotation workflow; metadata management and support like IMDI and CMDI
EXMARaLDA		Toolset for working with spoken language corpora	https://www.exmaralda.org		Yes	GPL-2.0	https://github.com/Exmaralda-Org/exmaralda	Yes	Desktop-based application	Windows, Mac OS, Linux	The software is freely available online (with sign up option and/or social logins)	Yes	Raw text, XML, TSV	Audio, Video, Image	The data can be exported.	Language-independence,Writing script support,LTR,unicode support	English, German, French, Chinese	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities)	Free span annotation, independent of sentences	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Table, Musical score visualisation	No	No	No, the tool does not support multiple annotators working on the same data.	No	No	No	No	Yes	Yes		No			No	https://exmaralda.org/en/projects/	
FLAT: FoLiA Linguistic Annotation Tool	https://archive.mpi.nl/tla/system/files/TLA-logo-with-text.png	 Flat is a web-based linguistic annotation environment based around the FoLiA format (http://proycon.github.io/folia), a rich XML-based format for linguistic annotation.	https://github.com/proycon/flat	[Companion Tools] http://proycon.github.io/folia/	Yes	GPL-3.0	https://github.com/proycon/flat	Legacy	Web-based application	Windows, Mac OS, Linux	The software should be run by the user (local machine or own server)	No	Raw text, CONLL-U, XML, TSV, FoLiA XML		The data can be exported., The data can be stored with a third party storage platform (e.g. Git repository)	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions), Relations (e.g. dependencies), Chains (e.g. coreferences)	Annotation inside sentences	Yes	Mouse (e.g. drag & drop)	No		No	No	Yes, the tool supports multiple annotators working independently on their own annotations of the same data.	partial	Yes	No	No	Yes	Yes	Lemmas,UPOS,FEATS,XPOS,Multi-word tokens,Basic dependencies	No		Discontinuous expressions,Nested expressions,Overlapping expressions	No	- PARSEME (and some derived projects) - Piroska Lenvdai et al. "Workflow for HTR-Postprocessing, Labeling and Classifying Diachronic and Regional Variation in Pre-Modern Slavic Texts" - LREC 2024 - https://aclanthology.org/2024.lrec-main.184/	
FLeX	https://software.sil.org/wp/wp-content/themes/web-productsites/images/sil_logo_glyph.png	A comprehensive linguistic software tool designed for documenting, analyzing, and managing lexical and textual data, particularly for under-documented languages.	https://software.sil.org/fieldworks/	[Training] https://vimeo.com/showcase/3123523	No	GNU LGPL	https://github.com/sillsdev/FieldWorks	Yes	Desktop-based application	Windows, Linux	The software should be run by the user (local machine or own server)	Yes	Raw text, XML, SFM, ToolBox files, Praat files	Audio, Video, Image, PDF, External databases (e.g. dictionaries)	The data can be exported.	Language-independence,Writing script support,LTR, RTL,unicode support	English	word-level,sentence-level	Tokens (e.g. part-of-speech tag, morphological features), Spans (e.g. names entities), Multi-tokens (e.g. multi-word expressions)	Annotation inside sentences, Annotation across sentences, Annotation of full sentences / paragraphs / documents	Yes	Keyboard, Mouse (e.g. drag & drop)	Yes	Table, Raw format (e.g. CONLL-U)	partial	No	No, the tool does not support multiple annotators working on the same data.	partial	No	partial	No	Yes	Yes	Metadata	No			No		n/a
